"","F1.P.0.1","F1.P.0.2","F1.P.0.3","F1.P.0.4","F1.P.0.5","F1.P.0.6","F1.P.0.7","F1.P.0.8","F1.P.0.9","F1.P.1"
"JURECZKO-ant-1.5.csv",0.361,0.422,0.37,0.309,0.292,0.29,0.262,0.233,0.217,0.197
"JURECZKO-ant-1.6.csv",0.362,0.58,0.64,0.647,0.607,0.563,0.516,0.484,0.452,0.415
"JURECZKO-ant-1.7.csv",0.45,0.597,0.586,0.556,0.532,0.489,0.46,0.423,0.395,0.364
"JURECZKO-camel-1.2.csv",0.217,0.297,0.377,0.418,0.446,0.462,0.493,0.507,0.527,0.524
"JURECZKO-camel-1.4.csv",0.276,0.357,0.345,0.361,0.344,0.344,0.339,0.316,0.308,0.285
"JURECZKO-camel-1.6.csv",0.246,0.304,0.34,0.331,0.346,0.347,0.362,0.35,0.339,0.326
"JURECZKO-jedit-3.2.csv",0.291,0.528,0.561,0.606,0.619,0.609,0.607,0.567,0.533,0.497
"JURECZKO-jedit-4.0.csv",0.343,0.529,0.59,0.548,0.491,0.473,0.464,0.439,0.423,0.394
"JURECZKO-jedit-4.1.csv",0.4,0.567,0.581,0.571,0.545,0.504,0.505,0.47,0.429,0.404
"JURECZKO-log4j-1.0.csv",0.383,0.525,0.568,0.591,0.535,0.504,0.484,0.451,0.439,0.402
"JURECZKO-log4j-1.1.csv",0.34,0.517,0.609,0.65,0.681,0.647,0.584,0.548,0.519,0.507
"JURECZKO-lucene-2.0.csv",0.291,0.477,0.564,0.615,0.638,0.673,0.705,0.672,0.654,0.636
"JURECZKO-lucene-2.2.csv",0.214,0.383,0.514,0.554,0.607,0.671,0.703,0.721,0.749,0.737
"JURECZKO-lucene-2.4.csv",0.236,0.406,0.511,0.59,0.627,0.683,0.717,0.741,0.762,0.748
"JURECZKO-poi-1.5.csv",0.207,0.404,0.538,0.63,0.687,0.749,0.758,0.764,0.774,0.746
"JURECZKO-poi-2.5.csv",0.217,0.382,0.518,0.582,0.641,0.722,0.774,0.82,0.825,0.784
"JURECZKO-poi-3.0.csv",0.234,0.412,0.547,0.643,0.717,0.799,0.82,0.814,0.802,0.777
"JURECZKO-synapse-1.1.csv",0.317,0.442,0.476,0.486,0.468,0.456,0.474,0.456,0.448,0.426
"JURECZKO-synapse-1.2.csv",0.306,0.511,0.605,0.596,0.589,0.569,0.589,0.566,0.532,0.503
"JURECZKO-xalan-2.4.csv",0.363,0.433,0.472,0.456,0.412,0.376,0.344,0.311,0.284,0.264
"JURECZKO-xalan-2.5.csv",0.244,0.388,0.494,0.551,0.607,0.631,0.658,0.655,0.653,0.65
"JURECZKO-xalan-2.6.csv",0.337,0.537,0.607,0.654,0.703,0.709,0.701,0.683,0.659,0.634
"JURECZKO-xerces-1.2.csv",0.226,0.252,0.227,0.251,0.227,0.215,0.216,0.246,0.261,0.278
"JURECZKO-xerces-1.3.csv",0.316,0.403,0.382,0.416,0.386,0.365,0.337,0.306,0.282,0.264
