"","F1.P.0.1","F1.P.0.2","F1.P.0.3","F1.P.0.4","F1.P.0.5","F1.P.0.6","F1.P.0.7","F1.P.0.8","F1.P.0.9","F1.P.1"
"JURECZKO-ant-1.5.csv",0.361,0.422,0.37,0.309,0.292,0.29,0.262,0.233,0.217,0.197
"JURECZKO-ant-1.6.csv",0.362,0.58,0.64,0.647,0.607,0.563,0.516,0.484,0.452,0.415
"JURECZKO-ant-1.7.csv",0.45,0.597,0.586,0.556,0.532,0.489,0.46,0.423,0.395,0.364
"JURECZKO-camel-1.4.csv",0.276,0.357,0.345,0.361,0.344,0.344,0.339,0.316,0.308,0.285
"JURECZKO-camel-1.6.csv",0.246,0.304,0.34,0.331,0.346,0.347,0.362,0.35,0.339,0.326
"JURECZKO-ivy-2.0.csv",0.48,0.455,0.414,0.367,0.324,0.287,0.259,0.231,0.219,0.204
"JURECZKO-jedit-4.1.csv",0.4,0.567,0.581,0.571,0.545,0.504,0.505,0.47,0.429,0.404
"JURECZKO-jedit-4.2.csv",0.405,0.479,0.443,0.412,0.381,0.343,0.303,0.276,0.249,0.231
"JURECZKO-jedit-4.3.csv",0.133,0.11,0.076,0.068,0.054,0.046,0.039,0.035,0.049,0.044
"JURECZKO-log4j-1.2.csv",0.182,0.33,0.448,0.546,0.639,0.731,0.789,0.861,0.906,0.959
"JURECZKO-lucene-2.4.csv",0.236,0.406,0.511,0.59,0.627,0.683,0.717,0.741,0.762,0.748
"JURECZKO-poi-2.5.csv",0.217,0.382,0.518,0.582,0.641,0.722,0.774,0.82,0.825,0.784
"JURECZKO-poi-3.0.csv",0.234,0.412,0.547,0.643,0.717,0.799,0.82,0.814,0.802,0.777
"JURECZKO-synapse-1.2.csv",0.306,0.511,0.605,0.596,0.589,0.569,0.589,0.566,0.532,0.503
"JURECZKO-velocity-1.6.csv",0.18,0.39,0.507,0.556,0.552,0.567,0.563,0.552,0.542,0.508
"JURECZKO-xerces-1.3.csv",0.316,0.403,0.382,0.416,0.386,0.365,0.337,0.306,0.282,0.264
"JURECZKO-xerces-1.4.csv",0.222,0.397,0.529,0.64,0.728,0.783,0.821,0.829,0.822,0.853
