"","AUC"
"ant-1.7.csv",0.867
"Apache.csv",0.776
"camel-1.6.csv",0.655
"EQ.csv",0.781
"ivy-2.0.csv",0.837
"JDT.csv",0.781
"jEdit-4.3.csv",0.651
"LC.csv",0.655
"log4j-1.2.csv",0.739
"lucene-2.4.csv",0.731
"ML.csv",0.692
"PDE.csv",0.717
"poi-3.0.csv",0.83
"Safe.csv",0.834
"synapse-1.2.csv",0.765
"Tomcat-6.0.csv",0.843
"velocity-1.6.1.csv",0.714
"xalan-2.7.0.csv",0.783
"xerces-1.4.4.csv",0.681
"Zxing.csv",0.661
