"","MCC.P.0.1","MCC.P.0.2","MCC.P.0.3","MCC.P.0.4","MCC.P.0.5","MCC.P.0.6","MCC.P.0.7","MCC.P.0.8","MCC.P.0.9","MCC.P.1"
"ant-1.7.csv",0.454,0.504,0.448,0.41,0.352,0.314,0.253,0.196,0.135,NA
"Apache.csv",0.153,0.281,0.376,0.445,0.474,0.45,0.377,0.352,0.207,NA
"camel-1.6.csv",0.158,0.198,0.164,0.159,0.152,0.124,0.134,0.093,0.066,NA
"EQ.csv",0.301,0.325,0.391,0.382,0.359,0.434,0.426,0.329,0.211,NA
"ivy-2.0.csv",0.408,0.417,0.347,0.295,0.243,0.185,0.15,0.095,0.076,NA
"JDT.csv",0.427,0.433,0.423,0.378,0.293,0.255,0.216,0.132,0.063,NA
"jEdit-4.3.csv",0.147,0.108,0.073,0.048,0.027,0.007,-0.014,-0.04,0.033,NA
"LC.csv",0.093,0.14,0.14,0.106,0.11,0.109,0.123,0.073,0.041,NA
"log4j-1.2.csv",0.208,0.274,0.292,0.384,0.445,0.488,0.312,0.135,-0.163,NA
"lucene-2.4.csv",0.334,0.351,0.365,0.369,0.342,0.294,0.201,0.21,0.159,NA
"ML.csv",0.241,0.239,0.231,0.221,0.18,0.143,0.102,0.06,0.061,NA
"PDE.csv",0.201,0.257,0.254,0.25,0.226,0.18,0.163,0.115,0.07,NA
"poi-3.0.csv",0.239,0.339,0.419,0.453,0.542,0.552,0.515,0.392,0.257,NA
"Safe.csv",0.389,0.615,0.462,0.476,0.439,0.374,0.452,0.331,0.279,NA
"synapse-1.2.csv",0.261,0.382,0.408,0.371,0.321,0.269,0.311,0.264,0.176,NA
"Tomcat-6.0.csv",0.315,0.36,0.287,0.256,0.218,0.196,0.152,0.116,0.089,NA
"velocity-1.6.1.csv",0.09,0.24,0.305,0.341,0.287,0.245,0.248,0.246,0.194,NA
"xalan-2.7.0.csv",0.191,0.286,0.359,0.401,0.403,0.422,0.415,0.256,-0.095,NA
"xerces-1.4.4.csv",0.181,0.201,0.26,0.246,0.268,0.282,0.27,0.155,0.044,NA
"Zxing.csv",0.157,0.105,0.178,0.258,0.276,0.239,0.185,0.119,0.125,NA
